lemma,f
scaremonger,19
short-term,740
entity,128
lawnmower,6
mini-job,13
sinecure,1
nose-dive,1
kip,6
traffic,260
retention,61
codify,11
spray-painted,2
bandy,22
utter,151
nf,5
rejection,285
fine-tune,4
juxtapose,19
softly-spoken,1
unpublished,13
one-liner,23
australian-style,2
ppt,10
miracle,146
sarin,1
karaoke,10
one-party,14
uncivilised,3
20-inch,1
nod,164
unveil,456
suppression,24
greyness,7
tightness,10
discredited,66
84-year-old,1
counterpart,386
mania,34
stellar,38
factional,21
spattered,1
january-march,1
alcohol,239
industrialised,47
accrual,13
groin,6
tutelage,11
spanner,13
blast,135
peruvian,14
wickedness,4
radiologist,5
redefinition,7
ambush,30
wrong-foot,8
normalised,16
radius,6
leech,21
duckling,9
inverse,13
chariot,14
non-emu,1
nerve-jangling,1
desiccate,4
smarten,2
wild,233
philistinism,5
war-ravaged,3
plutonium,2
land,1094
policing,10
grounds,333
measurable,25
extra,1898
deterioration,185
gregarious,5
cliff,279
delete,41
august,1
prurient,1
oil-price,3
lawyer,615
vuvuzela,2
campsite,4
motto,62
distraction,130
filibuster,7
merchant,72
connect,358
sear,12
tit,10
corbynomic,32
sprawl,30
irreverent,9
hydrocarbon,9
inventory,37
rag,25
taiwanese,3
drug-taking,2
indecipherable,2
anti-immigrant,100
aerospace,29
apprentice-style,1
vexing,3
latter,537
peace,443
hatter,1
flashbulb,3
iif,33
out-turn,1
everlasting,5
luc,24
determine,1023
nauseating,7
deutschmark,16
kestrel,2
retrace,8
infiltrator,11
antisocial,84
possess,113
multiplicity,8
corrode,23
ocd,2
sail,109
filing,26
repertoire,27
compartmentalise,4
british-based,11
self-delusion,8
follow-on,1
complexion,17
ad,237
anise,3
vagueness,15
clammy,6
goon,14
ascription,2
sandbag,4
house,2568
command,272
bearing,44
onetime,3
mandarin-speaking,2
ibex,21
undiscovered,3
macro-fiscal,1
prepared,80
gleaming,27
floral,20
double-act,1
hard-luck,1
demolish,102
panel,486
engineer,245
tongue,74
pall,18
operandus,11
timing,271
balloon,117
farthing,2
dauphinoise,1
nominee,61
salmon,25
blanc,2
goody-goody,1
yob,1
surgical,18
horror,254
pit,193
egregious,30
president,3715
crossword,26
spectacular,205
unquantifiable,3
dereliction,17
over-stated,1
integral,68
haplessness,1
deficit-reducing,12
maelstrom,17
midfielder,83
non-judgmental,2
drive,3043
resistance,634
about-face,2
corner-turning,1
birdsong,7
threepenny,1
sunflower,1
levy,479
aged,355
landline,20
modification,21
mountaineering,3
astringent,3
custard,23
saintly,9
neutral,235
purgatory,10
indefinite,25
bash-the-rich,1
gaffe-prone,7
psychodrama,9
cycladic,5
accustomed,24
remover,2
papers,511
irritate,16
profound,318
monogrammed,3
labour-controlled,21
enquire,4
many-headed,2
soda,4
unexcitingly,1
wrongdoer,2
guitarist,21
wages,1664
19-year,2
shill,3
humid,4
conciliatory,48
trounce,29
undefeated,6
chump,4
congratulatory,7
safety,721
bewitching,7
single-party,14
dent,173
bushel,3
depressive,7
hand-out,7
exertion,6
screen,338
rebranding,14
dunce,3
adventurous,23
ticker,7
downtime,3
late-stage,4
northern,999
forsake,11
choosing,19
snowboard,1
sling,30
scoop,62
rep,46
bemoan,65
ounce,70
in-school,2
pro-tibet,1
overland,2
exotic,58
opium,25
unwillingness,49
chromatic,2
non-white,17
supporting,4
hospitality,56
jamboree,22
tarragon,1
fusing,2
action,3522
qualified,32
christen,15
librettist,2
believable,22
irreversibility,5
clench,9
tenderness,12
omelette,7
ruby,4
neediness,1
vote,10963
wilful,39
enrich,83
canapés,3
five-a-side,3
cynical,190
tax-raising,18
rive,11
resentment,251
disadvantaged,228
ogre,3
self-congratulation,8
fixed-currency,1
agglomeration,3
parliament,4825
fart,17
unopposed,9
suffice,33
dedicated,99
ponzus,1
minority,846
woo,128
eradicate,155
terraced,27
optimistic,596
seductive,47
curtsey,2
sweeper,5
deficit-reduction,124
prestigious,58
uncontested,12
asymmetrical,7
guilder,5
bearer,39
stimulative,12
unpredictable,129
financing,313
leafleting,11
gross,373
hock,24
capital-gain,1
sobering,59
relate,3484
lascivious,5
berate,40
stamen,17
insinuate,6
ballpoint,1
related,188
violation,69
totem,17
rotter,1
spirituality,13
confidentiality,24
private-island,2
foot,687
capitulation,53
heretical,9
all-year-round,2
carving,2
damages,30
bountiful,8
doveish,3
galvanize,3
racist,264
shock-and-awe,6
much-watched,1
austerity-age,3
upsurge,26
four-year-old,27
icelander,6
atrocious,14
beefed-up,15
inevitable,684
culpa,27
batsman,12
bland,58
poison,130
basketball,30
second-placed,1
cohabiting,2
altitude,11
sexuality,47
railroad,18
yurt,7
weed,46
impasse,74
adjudication,3
anticapitalism,1
eerie,46
objectionable,11
flat,828
workaholic,11
chilli,1
professionalising,2
trashy,2
planet-saving,1
profane,7
mettle,17
price-tag,4
shard,17
dross,4
mesh,23
irrecoverable,4
car-free,2
spectacle,131
menial,12
bedeck,1
hard-wired,3
disquisition,2
equality,633
landlady,11
unreformed,26
pricy,10
declare,1231
flawed,81
homebuilder,3
three-month,100
fatalistic,10
cast-iron,22
vapour,4
cluttered,7
inundation,1
jaundiced,7
bereavement,16
glib,29
effluent,2
electrician,27
criminalise,63
crowd,745
higher-quality,2
oven-ready,2
left-wing,92
spike,174
fast-growing,43
fusty,11
pin-up,9
marked-down,1
snap,392
double-dipped,1
moneyman,2
property-related,1
legitimate,219
re-rating,7
permafrost,1
regularity,14
crocheted,3
emotive,30
bandwagon,41
weakened,42
pressurised,11
pheasant,7
reprofiling,7
procure,18
pantomime,56
gangster,30
jetty,4
galling,21
spender,40
underline,383
forlorn,29
walk-in,13
uprating,13
muzzle,8
dizzy,16
gunship,4
ward,230
methodology,39
sesame,1
hexagonal,4
engine,234
deep-fried,2
upholstery,4
picket,76
renew,666
thumbs-up,16
loopy,3
coddling,5
tweed,15
misdeed,9
optimise,9
remonstrate,6
loan-to-value,8
unreconciled,3
kite-flying,1
guardian-reading,5
briefs,8
well-supported,6
mirthless,2
royalty,66
apf,2
augmentation,1
ten-year,69
discern,25
rba,12
quell,64
fury,237
lapdog,3
woodworking,1
unbritish,1
comfortable,335
misjudgment,22
non-racist,1
moan,66
biochemist,3
fully-elected,1
edge,845
squalor,27
nagging,31
firework,77
metallic,7
irreverence,6
non-compliance,6
lie-in,3
labour-baiting,1
residue,15
wide-leg,2
belligerent,16
baguette,13
granddaughter,15
dead,668
villain,88
mete,59
piazza,10
space,1285
analyse,181
blackboard,13
theatreland,3
keystone,26
reload,3
unironic,1
consumer-led,6
peculiar,70
wobbly,44
must-win,2
broadsword,2
petrol-powered,2
disperse,39
prussian,3
flinty,3
white-bearded,1
doggedness,3
acceptance,200
flip-flop,14
unifying,44
righteousness,8
16-month-old,1
sleight,38
hinterland,26
licensed,16
quantum,19
tut-tutting,1
predetermine,1
fore,51
better-than-expected,36
funeral,263
martyr,27
coloniser,8
open-for-business,1
someone,1557
distributional,36
over-arching,8
under-perform,3
close-run,5
complete,1047
manchester-based,1
remorseless,24
in-law,8
austerity-era,22
rapidity,3
burberry,2
11-plus,3
counter,333
hiding,18
hard-hit,19
heart-rending,3
jukebox,5
ex-premier,1
cancellation,97
quietism,3
precede,105
victorious,44
co-create,6
insolvency,124
seminar,98
plp,68
lender-of-last,1
forecast,2765
fratricidal,4
dare,230
spirited,21
oncologist,6
unconfirmed,11
flirtation,28
mouldy,8
fractional,5
pervert,25
midge,3
carelessness,5
de-industrialising,1
pliable,6
fun,397
tempt,172
greenback,11
sissy,2
fellow,705
other,15676
wellbeing,375
hypocrite,17
stalwart,41
stucco,6
paid-up,12
ex-soldier,4
twothird,1
isil,3
culinary,40
rca,5
discrete,16
bean,67
mistress,23
nobleman,2
thinness,4
barbecued,1
adagio,3
inhouse,1
insure,155
islamist,60
ex-communist,6
past,4378
directional,3
uppermost,10
snoop,19
squander,80
ever-increasing,35
counter-terrorist,1
neocon,14
oversell,6
lakeside,3
cleaver,5
half,2067
liking,13
17-year,24
cruciate,1
narrow-gauge,1
attack,2693
veneer,36
longrunning,1
connected,24
bloat,7
nodding,1
nobl,2
removable,2
nose,170
rightwinger,55
trad,4
gilt,270
choir,33
deconstruct,8
gulag,5
torque,1
osborne-led,1
nipper,2
quirky,28
newswire,10
huge,2526
becalm,4
resetting,5
homeliness,1
beneficent,4
mirage,14
fireside,3
hooliganism,5
georgian,32
escalation,78
victory,1654
world-beating,10
brain-teaser,1
pigment,4
pantheon,8
hacking,216
ruder,3
pollinator,5
wish,906
publisher,158
poo,5
gazpacho,1
accounting,149
leaf,90
hotspot,25
all-over,1
eurozone-style,2
citizen,1305
flatter,44
13-year,6
winsome,4
deluxe,4
re-imagine,6
burden,1018
sonic,10
vale,1
bedlam,4
cultivation,7
bronze,54
good-quality,22
overreact,10
epicentre,25
cranny,5
town,1553
spree,81
enamour,5
maize,2
re-learn,1
serialisation,3
relocate,79
interlock,7
glitz,9
sardine,11
feelgood,55
avenge,7
11-point,4
waiting-time,4
prize-nominated,2
equipment,268
cyclist,69
sentencing,23
theological,7
steadicam,1
billionaire,219
unexplained,10
unattainable,18
crunchy,5
urgency,171
insert,55
perpetrate,31
mid-2016,4
outcompet,1
heavyweight,61
vigour,44
quarter-century,7
incontrovertible,13
adventurism,3
castle,60
cheek,56
rebut,44
irreligious,2
spill,102
copywriter,7
force,5843
underperformer,2
arming,1
confirmation,99
wage-earner,8
scarlet,17
ditch,266
tuft,2
clinician,17
100-days,2
top-to-toe,1
shoal,3
philistine,7
echo,616
cede,59
tarp,4
oversupply,13
sitcom,47
ruminant,1
draughtsman,9
stagey,3
dependency,158
evenness,1
fine-sounding,2
gull,4
boast,321
lavatory,7
try,5249
crisis-ridden,18
technique,151
determined,3
deliciousness,3
regurgitation,1
pre-distribution,5
baton,64
morn,4
hesitation,36
non-religious,2
season,1138
tut,3
north-eastern,16
beanstalk,2
ss,12
backbone,49
jeopardy,51
cultivate,82
holdall,5
barricaded,1
language,957
protrude,2
tit-for-tat,11
soot,5
insolent,1
reunify,10
intricacy,12
lily,8
unsaid,6
neglectful,4
turn-of-the-century,2
slim,131
salience,10
special-purpose,1
ridiculous,200
immovable,27
whirlwind,27
kilowatt,2
regulated,7
murmur,39
foxy,1
offload,32
pathological,9
bronchitis,3
commentary,127
weakness-seeking,1
underfoot,2
have-not,37
high-earner,6
best-loved,4
contrariness,3
tearful,17
trilogy,41
rewire,7
people,27913
lff,3
ironclad,1
overvalue,42
japan-style,8
squash,21
seven-day,32
greeting,14
eclipse,70
foment,19
favoured,58
hous,6
difficulty,738
blackspot,15
anti-banker,1
clean-lined,2
baggy,18
ha,10
park,629
offspring,36
relay,80
cost-of-living,27
volcanologist,1
air-traffic,1
relief,1108
super-strength,1
co-direct,5
asian,263
cheesehead,1
multi,1
possessive,6
myself,1
slowing,33
pro-independence,80
refutation,7
competition,729
close-typed,1
gosh,8
invigorate,13
peek,16
association,576
emigrate,62
reprise,43
bombast,20
quantifiable,5
substitution,14
bridegroom,1
with-it,3
hockey,111
harden,98
poker,29
fair-weather,3
colossus,5
unquenchable,2
follicle,1
explain,2289
frugality,27
paste,26
scrutinise,129
midtown,3
overreliance,3
unready,2
perplexing,14
under-investment,13
cameroonian,9
shindig,7
borrow,1375
scooter,18
associated,9
innovation,477
enrichment,25
dissuade,19
overplay,23
re-visit,2
dollop,21
right-of-centre,24
bluff,85
goodness,47
gunpoint,5
wafer-thin,19
peccadillo,2
duty,972
glean,27
quasi-permanent,1
westerly,4
jeremiad,5
turbulent,82
common-sense,11
iou,7
heart-wrenching,1
ingrained,41
pageant,25
placebo,4
fig-leaf,4
mystery,133
door,930
sweat-soaked,1
remedy,231
stooge,14
thoroughbred,1
puck,1
gelatinous,1
power-sharing,54
reconcile,92
demography,5
cylinder,19
arena,121
islamisation,5
firmament,3
philandering,2
participatory,38
obliged,2
recruiter,13
percussive,6
provoke,343
wrongdoing,54
recitation,2
daze,8
established,133
flavouring,3
hotpot,2
ape,30
misaligned,1
cusp,24
proportioned,1
shoddiness,1
nada,1
memento,7
long-accepted,1
piss,57
bruise,65
thread,135
unwavering,6
fly,562
terrorist,236
mahogany,3
resourceful,20
vee,1
benevolence,7
unassertive,1
gelato,2
twinkly,4
unpalatable,47
module,15
host,752
duplicate,10
thee,1
quote,914
shattered,8
highwayman,1
distaste,28
study,1835
draught,5
accepted,1
snooty,13
cash-poor,4
sweep,376
uneven,70
virtuosity,12
whimsicality,1
vitamin,3
gloom-mongering,1
entitlement,212
attic,17
cambridge-educated,1
historic,613
jubilee,189
non-farm,64
cbeeby,5
pier,18
low-cut,2
collectable,9
sit-down,9
undeserved,16
torrential,3
recap,44
subplot,8
second-rate,10
bid-to-cover,36
whole,2322
amiable,14
checking,9
sideshow,30
pique,18
over-excited,10
advocaat,1
finalisation,5
history,2761
proffer,26
shrivelling,4
undercover,51
marshmallow,4
hedgie,1
schoolteacher,20
palimpsest,2
fishnet,3
piquant,2
hawkish,52
composition,87
flatulent,4
skittishness,2
sha,4
euozone,1
uncertain,385
handmade,18
collector,91
hole,619
demoralise,37
ubiquity,20
hsus,2
manage,2162
counterproductive,73
brit,79
fast-rising,6
thieving,1
geothermal,2
gratify,9
counter-argument,16
sill,4
interdependency,6
aggregate,97
pixellated,2
decant,8
train-wreck,2
reclaim,103
wager,20
broker,233
near-death,14
remake,56
aesthetics,26
outbreak,119
useless,117
extinct,21
unbuttoned,1
ashen-faced,10
eurasian,4
long-ago,8
matron,5
glutinous,2
spiralling,64
resolute,31
casualisation,12
17-nation,46
mutilation,18
fearsome,16
trope,39
estimated,20
flag,473
bpus,3
bored,18
strew,18
enchant,7
slicker,5
well-meant,1
misapprehension,5
ever-deeper,10
cripple,98
philosopher,127
sting,70
rubberstamp,4
flatness,1
time-bound,1
workwear,4
spoilt,16
dissolve,143
eery,2
self-dealing,1
vigilant,17
juice,51
platform,541
good-natured,15
colonel,23
deluded,21
reordering,6
conditional,57
80-year-old,5
preaching,1
scurry,12
vexation,3
accordance,36
headphone,9
leftwing,470
continent,639
limo,10
headmistress,4
mancunian,19
continental,135
hygiene,15
bottomless,30
marry,392
gnarly,3
orchard,10
citizenry,13
puzzle,110
discourse,162
unchanging,7
judgement,52
europe,10
buffalo,5
28-year-old,20
antecedent,3
loonie,1
moratorium,49
rum,24
world-weary,8
unpaved,1
tut-tut,2
insight,243
indian,191
tapa,16
amazonian,1
bedtime,7
pulpit,7
slow,1802
sleuthing,4
mathematical,30
fluffy,18
burnt,13
acorn,3
40-year,14
rekindle,30
proving,1
well-thought-out,3
much,6038
nail,155
blight,50
merkelism,5
punishable,4
anecdote,53
unachievable,19
retirement,430
minutiae,17
evaporation,5
prow,4
breach,316
photocopy,8
hardman,2
mountain-biking,1
smackhead,1
deploy,315
thesis,63
letter-writing,7
insertion,8
donor-fearing,1
suchlike,2
implosion,56
cameo,20
revere,34
stateside,4
pre-funded,1
plethora,33
run-down,25
watermark,9
union-imf,1
agm,4
overthe,1
unsayable,4
orientate,6
third-biggest,12
rabid,11
bachelor,7
refurb,4
storey,7
chronometer,1
intolerance,41
globetrotting,4
exempt,126
epoch-defining,7
troll,18
spaniard,41
mob,86
wedding,286
second-term,9
solidify,18
islet,4
glamping,1
six-monthly,5
front,1963
worsen,540
overrule,28
full-on,17
voyeuristic,5
ensure,2117
greedy,88
accelerated,4
gingerbread,3
transparent,170
sun-dappled,2
lapel,15
sideways,1
thankless,14
façade,3
ego,65
weakness,687
reannounce,1
influx,87
chick,9
clement,1
sense,2928
brunt,189
reinvest,47
pithy,15
unnerve,28
inauguration,39
drip-feeding,4
mid-70,7
lonely,109
likud,5
starry-eyed,9
crucify,11
relieve,154
crutch,24
sado-masochism,1
addle,1
pauperisation,3
stealth,51
book,3249
dampener,4
tax-led,1
rankle,14
sumptuousness,1
songwriting,7
linearity,1
machismo,14
longer-term,180
attention,946
pandemonium,5
pretrial,5
gaga,2
amour,1
picture,1664
debt-to-gdp,115
propulsion,3
1980,284
splay,3
braggart,1
reflect,1612
thrust,107
bluster,29
jostle,37
oat,1
sad,316
condominium,4
mercy,76
military,1037
trowel,3
heck,15
tin,117
exotica,1
co-creator,4
precept,36
overalls,6
advanced,240
gifted,49
roomful,3
breakeven,4
class-consciousness,1
exclusion,148
dragon,39
ninepin,1
really,1
valiant,10
zil,1
30-second,4
gala,29
ever-charming,1
twaddle,6
smoothie,10
shrill,31
froth,34
tumult,40
raffle,3
religious,279
shilling,12
imaginable,27
tectonic,19
porker,2
doubt,1633
sheepdog,3
peso,17
comprehensible,9
chihuahua,1
fail,4718
withering,28
action-packed,2
evade,66
comical,19
pre-credit,6
hairdryer,1
country,19255
murmuring,3
well-flagged,1
bagatelle,2
best-value,2
reunite,34
cellophane,3
36-hour,3
picture-postcard,2
independently-minded,1
booth,84
labourite,14
defenestrate,6
badminton,8
precipitous,20
short-circuit,8
header,18
premiere,86
trillion-dollar,6
petulance,5
waxing,2
pampering,1
reignite,53
copper,102
diarrhoea,4
epiphany,23
jewellery,47
un-european,3
coalition-style,2
line-up,32
oomph,12
proximate,2
efsm,3
no-doubt,1
e-business,1
patek,1
link,1526
debauchery,2
steepen,1
position,2681
proactive,42
marathon,117
forego,7
bodice,5
polka-dot,2
idealistic,47
keynesianism,5
gimmicky,8
hurt,576
tn,179
hernia,8
bookable,1
labour-snp,19
pungency,3
yuletide,10
top,3828
religion,180
rainy-day,3
butter,91
landslide,139
hoo-ha,2
planning,465
pressurise,8
antipathy,39
despise,90
waffling,1
alert,141
superficial,46
rattled,2
legendary,65
fruitless,32
psychopath,5
changeable,2
ser,3
sequencing,4
scarecrow,8
foil,25
disable,18
imbibe,7
cortex,1
phased,15
diversity,281
fsb,4
recapture,50
dazzle,22
pull-back,2
cheerless,1
franco-american,2
extracurricular,11
grim-faced,10
greece,8
winnings,1
comparator,8
o-level,25
woebegone,1
consensus-builder,1
act,2386
ert,30
incorrigible,6
fluster,6
post-ironic,3
superrich,1
fear-based,2
dissemble,7
railing,51
intrude,25
affiliated,822
misdescribe,1
functional,30
malodorous,1
kiwi,2
pedigree,22
clientelism,16
curtailment,3
garrison,6
maximize,5
surfer,3
eye-rolling,2
crane,28
physician,19
ingrain,11
gullibility,3
feature,863
hinge,57
lent,2
bewildered,24
fence,127
coincide,208
infatuated,1
perfectionist,2
whimsical,12
discerning,7
brussels-imposed,2
eat,872
uncut,26
non-european,21
synagogue,9
disorientate,5
inert,13
cautionary,27
angered,12
aiolus,2
cinemagoer,2
beekeeper,2
range,1135
giddy,39
playback,6
self-examination,8
privately-owned,2
fiscal,4776
stimulate,413
undertaker,11
autobiographical,9
underestimate,229
urging,1
oppression,56
harrier,7
anglophile,2
scrappy,10
pane,3
flexibility,267
baronetcy,3
incoherent,36
communion,16
pussy,4
asking,3
big-ticket,27
champion,566
hol,5
redecorate,4
bow,172
one-term,17
crusty,13
full-time,308
in,12
amalgamation,7
alto,2
unlovely,6
slow-motion,19
on-site,5
strangle,87
bilateral,141
coterie,18
sharium,6
off-shore,6
millennial,42
bejewelled,1
fairy,53
witty,59
subtext,21
inflexion,2
all-powerful,18
hyper-inflation,10
landholding,4
wire,117
implied,5
front-page,52
fa,35
ringfenced,37
whale,31
parochial,43
anaerobic,3
uncrowned,1
polarisation,42
harmonious,16
credit-rating,31
well-lit,3
grexit,43
quarterback,2
shaven-headed,3
collaborationist,6
behove,6
pr,212
travelodge,3
overambitious,2
sidetrack,5
riotous,11
recess,43
complicating,4
statism,22
vindictiveness,9
ketchup,6
anti-terrorist,3
inject,231
gravy,24
discord,32
hard-core,7
nouveau,13
perverse,97
erm,18
unflagging,3
inveigh,3
spin,344
deconstructed,6
death-wish,2
jlr,1
ballsy,1
universe,106
ton,36
medal,129
stinker,6
regime,841
pepper,76
crimean,4
spinalonga,1
reforms-for-cash,1
statin,1
tue,7
indigestion,5
mortality,96
ring-fence,23
calculated,13
macro-prudential,10
pounds-worth,1
pleased,155
backlog,59
asset-backed,5
mind,1635
trailer,24
cos,5
python,5
emergency,1578
lithe,4
headlight,9
hobbesian,2
cashflow,18
effusive,14
inexcusable,14
linoleum,2
crucial,1023
eulogise,9
four-poster,1
dermatology,2
off-brand,1
centralised,88
evel,3
slack,125
drench,18
smite,7
barman,11
ongoing,584
converge,60
mirabili,1
realm,136
frugal,41
transcendental,4
lamp-post,2
charity,2056
compatriot,49
hidden,142
dullish,1
blond,21
narcissist,10
kill,944
purchasing,120
balmy,10
equivocation,9
judge,999
footage,132
recherché,1
speak,3634
shipment,21
layoff,56
ponderous,8
equilibrium,35
tautz,1
nosebleed,2
strategy,2376
tremulous,3
supply,836
renegotiate,274
bathing,14
triangular,4
tedium,18
sleek,21
pecuniary,6
consolidation,447
hollow,154
intermediate,22
eyed,3
enamoured,5
letup,5
euro-exit,4
operating,117
mafioso,4
holder,232
recreational,12
phantasmal,1
hand-embroidered,3
tradable,5
shroud-waving,1
incline,41
home-owner,7
piracy,11
reminiscent,85
muscadet,1
welsh-english,1
unus,17
tailwind,3
letdown,2
kin,5
factoring,1
standstill,81
stark,325
togetherness,15
enliven,9
espouse,70
ref,11
absent,112
exasperate,29
perfidious,5
eurocracy,2
fleshpot,2
laugh,438
sofa,113
accountancy,72
introspective,7
etc,71
mannered,6
comm,6
pantaloons,3
trough,64
desk,217
fulminate,10
activity,1519
eyewatering,2
convertibility,4
sandwich,139
huddle,48
femininity,7
subnormal,1
integrated,44
pronounce,63
hatred,126
disappearance,45
quick-witted,2
well-chosen,2
decorate,65
blizzard,26
guidance,199
drizzle,11
feted,1
reforge,2
article,1283
calorie,38
lower-grade,1
heartfelt,37
screwed-up,2
howling,6
birthday,157
fixed-rate,19
picketing,7
multi-trillion,1
anti-democracy,2
suggestion,722
tipple,6
wreak,40
ailment,20
middle-aged,115
snore,6
garnish,5
generate,810
peddle,75
impresario,12
fixed-term,44
inveigle,2
favour,1610
bulge,33
mingle,30
unscientific,7
significance,202
triple-dip,116
redenomination,11
defy,275
unforgettable,15
stationery,6
factual,23
leitmotiv,1
supremacist,4
sparse,29
unmaintained,1
world-leader,1
cardamom,2
competitive,490
co-ordinated,132
investing,19
pdf,212
walkie-talkie,1
fig,37
shebang,6
fleecy,2
impose,1805
measurement,39
corbyn,26
exposition,12
hard-headed,28
heartache,4
masked,3
raze,6
1940,75
expand,953
newsworthy,15
reclassification,1
leather,57
off-the-shelf,6
euro-referendum,4
infrared,1
waterside,4
commissar,10
collide,35
aryan,2
elusive,96
adversary,34
bskyb,2
extended,96
spellbinding,1
knotweed,1
trapdoor,5
retailing,26
bleakness,11
worked-out,4
undersell,6
basher,2
22-year,2
schemer,10
exploration,79
walk-on,8
repressive,23
tractor,34
contracting,73
amish,2
pro-democracy,16
fxpro,13
arrive,1195
truffle,11
apex,11
post-lisbon,1
post-unification,2
banger,7
spotted,20
wiper,3
two-time,5
choosy,8
litigant,43
caramelise,3
kosher,5
disturbing,98
expend,21
dashing,5
slaughterhouse,8
zero-growth,1
mobilise,231
worse-than-expected,17
unimaginative,5
idolater,1
refresh,44
unrivalled,16
constitutionality,3
batting,17
splash,148
cuddle,8
uninsured,12
crossover,9
preparedness,9
unaffordable,123
takings,20
laid-off,14
sharpish,3
stop-gap,4
lizard,3
coaster,4
germany,3
divergent,33
vacant,57
overindebted,3
beneficial,105
emanate,49
tornado,6
re-negotiate,4
curvature,3
super-light,1
career-long,1
liability,258
all-consuming,4
decipher,12
coalmine,7
upward,275
nine-year,19
caterpillar,5
road-building,5
social-democratic,24
killing,128
sanity,39
fest,4
bullseye,1
peeve,3
pre-recording,1
rife,72
retire,379
unlicensed,2
scatter,58
bookmake,1
infant,90
human-rights,3
borderless,4
boulangère,2
pram,25
deflate,47
undergraduate,58
english-born,1
semi-rural,1
ifo,14
hanger-on,4
narrowing,34
proprietary,8
opec,1
quaint,35
ante-room,1
kinky,2
aztec,4
state-to-state,1
anti-government,60
midweek,13
neo-communist,1
best,51
above-the-line,1
under-report,1
client,526
spite,168
fulltime,8
example,2434
smalltown,3
certify,11
fount,3
quasi-religious,5
unabated,12
questioner,27
permutation,10
untrained,5
big-time,5
interval,36
pedagogue,3
like-for-like,90
subcontractor,6
shape,895
brilliance,42
antidote,64
helicopter,132
subvention,9
bestiary,3
bedazzle,1
presumptive,3
traditionalist,33
perishable,12
unbelieving,1
privatization,25
wonder,1203
written-off,1
lw,15
allowance,1061
pointed,47
lithium,1
overheard,3
abou,1
mughal,5
deeply-held,1
applicable,18
imitate,30
tribe,86
earthward,1
mortified,2
colleage,4
movie-making,1
pillar,122
springboard,22
pre-euro,10
sweeter,3
morgan,1
mobile,362
reflate,16
unselfconscious,1
long,4309
creak,30
classicist,2
low-down,1
thawing,3
modern-era,1
womb,9
boxing,32
sweetheart,23
globetrot,2
preternatural,2
pulley,1
different,3424
shelve,49
appropriation,9
advocate,572
electrify,25
undiminished,9
counterfeiting,1
underdevelopment,2
gesture,208
receivable,1
lab,68
irritation,44
diversifier,1
odyssey,23
unpretentious,8
bot,2
added,3
wealth-generating,1
ingest,4
basket,129
intermediary,27
replenish,15
shaded,2
mere,335
fattening,6
peak,656
finery,2
ead,7
successor,365
reputed,5
anti-fraud,5
cuadrillum,3
chivvy,1
speculative,132
waft,18
torn,3
muffin,1
restatement,9
distress,140
detain,89
guv,8
impersonate,5
wideranging,1
random,100
newlywed,3
vestige,12
slovenliness,2
enterprise,541
needle,40
playwright,80
helmsman,3
hippie,11
mandatory,97
schoolday,3
xenophobe,23
beck,2
pioneer,149
connectivity,14
internet,468
pre-2010,4
trustee,76
well-preserved,1
pelt,25
hoist,26
consulting,24
mentore,11
windowless,10
people-friendly,2
dethrone,3
poet,246
anne,9
good-hearted,1
spivvy,2
unprocessed,1
reputation,640
deployment,63
gravity-defying,2
rampant,133
warble,4
flashpoint,35
crimson,6
proficiency,6
farright,1
month-long,13
polished,24
overburdened,19
dour,18
kinder-hearted,1
backbite,1
newspaper,1221
purist,14
lemongrass,7
relationship,1329
overheate,31
ooze,21
abreast,4
mumbo,1
especial,1
placard,93
inflated,42
stockbuild,1
shirtless,2
sprinkler,7
sweater,16
eight-bedroom,2
electoral,1100
canon,37
connive,15
sobriquet,2
harvest,68
hard-earned,25
sublime,22
crunching,4
contingent,72
speed,550
steward,55
thong,1
detractor,62
closing,167
outlier,15
clunkiest,1
diversion,29
choirboy,1
fermentation,1
aid,2724
rioter,85
cahoots,10
widen,412
zimbabwean,3
overwritten,3
surmise,8
nuisance,28
gateau,1
home-grown,30
emote,4
genus,2
monday,5
swingeing,63
exasperated,26
determinate,1
unwatchable,2
clientelist,9
extravagant,73
million-strong,20
go-to,11
reuse,26
upper,248
buttonhole,11
luscious,7
redrafting,3
nightdress,1
homosexual,25
sanitised,7
one-seat,1
scamp,2
dormouse,1
care,4331
six-year-old,23
compress,17
cashew,3
ghost,159
din,7
carpet-bombing,1
hat-trick,13
modulate,4
clientelistic,2
declaration,195
oeuvre,9
uniformity,8
pimping,4
ochre-coloured,1
collateralised,7
coinage,5
mutineer,7
profit-making,16
vision,1081
backbench,182
hip-hop,40
accomplished,21
merino,2
uncool,2
clamour,62
paid-for,4
studio,298
refuge,111
disconcerting,13
make-up,31
package,2588
high-deficit,8
riches,58
caramelised,1
overt,42
antitrust,1
slow-growing,2
bling-bling,4
thatcher-style,3
quango,86
bail-in,29
ceremonial,38
chemo,2
copper-bottomed,3
delectable,2
whir,8
sisterhood,6
fructify,1
after-hours,5
document,671
eight-year,21
fund-raising,6
charlatan,14
drafter,1
reformist,54
uruguayan,11
hearsay,1
cross-party,172
centuries-old,5
buttery,6
reel,129
zen,7
buttoned-up,4
rogue,70
standby,20
aversion,62
reclusive,7
supranational,21
vacillation,3
vote-rigging,7
transgression,12
voluptuary,1
ucl,16
schizophrenia,19
