Frequency list: Lemma frequencies in entire "AP: comments, Telegraph"
__________________

Number	Lemma	Frequency

1	PUNC	181537
2	be	75854
3	the	64087
4	to	40054
5	of	36048
6	a	33913
7	and	32939
8	that	23249
9	not	23140
10	it	21353
11	you	20115
12	in	20036
13	i	19453
14	have	19258
15	do	15327
16	they	12701
17	for	12143
18	marriage	10813
19	as	10711
20	with	8294
21	this	8112
22	on	8007
23	will	7802
24	gay	7722
25	we	7093
26	or	7020
27	but	6966
28	people	6923
29	what	6552
30	if	6300
31	can	6089
32	all	6040
33	who	6002
34	by	5798
35	your	5777
36	no	5754
37	so	5591
38	would	5566
39	their	5448
40	he	5039
41	there	4734
42	about	4686
43	one	4660
44	from	4146
45	say	3967
46	at	3911
47	think	3726
48	just	3720
49	get	3669
50	which	3518
51	other	3491
52	man	3476
53	make	3405
54	right	3368
55	like	3303
56	more	3232
57	any	3174
58	church	3095
59	should	3094
60	my	3057
61	why	3011
62	because	2964
63	's	2935
64	homosexual	2872
65	same	2861
66	child	2772
67	want	2756
68	when	2752
69	only	2748
70	know	2733
71	his	2726
72	up	2687
73	then	2575
74	law	2552
75	than	2541
76	out	2523
77	how	2457
78	some	2453
79	sex	2403
80	woman	2338
81	now	2316
82	those	2315
83	good	2310
84	see	2300
85	marry	2258
86	god	2157
87	our	2147
88	time	2117
89	thing	2080
90	many	2043
91	way	1995
92	go	1988
93	even	1972
94	well	1950
95	very	1897
96	state	1815
97	its	1766
98	society	1744
99	take	1738
100	couple	1684
101	against	1664
102	point	1632
103	mean	1599
104	most	1598
105	change	1593
106	two	1588
107	such	1586
108	give	1571
109	need	1565
110	cameron	1525
111	party	1524
112	also	1523
113	come	1511
114	vote	1501
115	believe	1491
116	into	1471
117	could	1461
118	year	1452
119	own	1447
120	civil	1438
121	really	1438
122	much	1418
123	never	1390
124	between	1385
125	issue	1365
126	christian	1361
127	where	1351
128	over	1328
129	life	1321
130	word	1318
131	these	1314
132	heterosexual	1312
133	government	1298
134	find	1273
135	love	1265
136	religious	1256
137	may	1252
138	human	1236
139	country	1228
140	allow	1217
141	here	1208
142	use	1205
143	too	1204
144	relationship	1198
145	homosexuality	1191
146	fact	1188
147	seem	1188
148	support	1169
149	reason	1159
150	nothing	1151
151	try	1146
152	tell	1124
153	something	1123
154	argument	1113
155	still	1110
156	world	1105
157	look	1082
158	catholic	1080
159	matter	1070
160	view	1054
161	call	1048
162	religion	1046
163	she	1035
164	conservative	1027
165	sexual	1018
166	must	1011
167	another	1009
168	'	1004
169	wrong	998
170	partnership	957
171	might	953
172	comment	945
173	anyone	943
174	equality	940
175	case	934
176	actually	929
177	let	926
178	live	921
179	before	920
180	old	916
181	family	909
182	yes	906
183	majority	892
184	anything	872
185	new	872
186	course	871
187	legal	869
188	always	866
189	different	864
190	become	860
191	through	856
192	married	852
193	put	852
194	tory	849
195	agree	845
196	happen	844
197	natural	844
198	opinion	841
199	long	840
200	problem	836
201	far	835
202	force	826
203	day	825
204	down	809
205	read	807
206	question	803
207	person	802
208	every	801
209	show	798
210	part	793
211	rather	788
212	both	780
213	act	777
214	already	767
215	without	767
216	after	765
217	http	765
218	wish	765
219	great	758
220	feel	756
221	work	753
222	else	748
223	first	748
224	equal	745
225	back	741
226	ever	740
227	institution	734
228	someone	733
229	idea	730
230	real	723
231	understand	723
232	claim	720
233	social	714
234	quite	713
235	ask	711
236	true	705
237	since	704
238	simply	698
239	ukip	698
240	post	695
241	either	686
242	same-sex	685
243	little	671
244	bible	667
245	though	664
246	union	660
247	place	656
248	public	653
249	end	652
250	themselves	652
251	uk	652
252	group	650
253	labour	649
254	political	647
255	stop	645
256	again	640
257	eu	640
258	perhaps	638
259	whether	637
260	care	636
261	keep	636
262	everyone	635
263	sure	630
264	minority	629
265	yet	627
266	last	625
267	belief	624
268	legislation	619
269	accept	616
270	faith	614
271	each	610
272	under	609
273	her	607
274	bring	606
275	lot	606
276	leave	602
277	mind	600
278	definition	599
279	straight	596
280	bill	595
281	few	594
282	consider	585
283	evidence	583
284	answer	581
285	next	581
286	however	572
287	parent	572
288	less	570
289	going	569
290	number	569
291	population	566
292	wife	562
293	male	558
294	enough	553
295	choose	552
296	least	547
297	off	547
298	write	547
299	please	539
300	term	539
301	divorce	538
302	gender	535
303	debate	533
304	liberal	533
305	able	522
306	difference	521
307	around	519
308	bad	516
309	british	516
310	sense	511
311	once	510
312	normal	509
313	probably	509
314	name	503
315	oh	500
316	muslim	497
317	jesus	495
318	young	494
319	free	493
320	whole	493
321	create	492
322	nature	491
323	example	490
324	bit	489
325	form	489
326	exist	486
327	lord	486
328	talk	483
329	hold	482
330	start	482
331	hate	479
332	happy	477
333	lose	477
334	moral	477
335	therefore	477
336	base	474
337	cause	468
338	britain	467
339	parliament	466
340	power	457
341	school	457
342	move	454
343	away	451
344	age	446
345	follow	446
346	yourself	446
