lemma,f
elephant-hunting,1
least,1536
behalf,98
turning,7
pillory,12
cloth,30
industrialise,4
long-overdue,6
ply,5
flatshare,1
own,2893
gelatin,1
volte,1
orifice,1
saga,66
anti-submarine,3
shove,25
underworked,1
pre-digital,2
rue,20
medium-density,1
terrible,160
conjugal,1
open-source,1
nondescript,3
viper,2
pomegranate,1
promise,1395
painter,25
mutiny,15
self-punishment,1
slow-moving,3
marbled,7
abolish,155
frontrunner,5
damn,19
cater,32
hectare,5
allotted,4
snowflake,3
usurious,1
fishmonger,5
faeces,3
cool,150
confrontation,58
improvisation,7
re-employ,2
backpacker,2
co-sign,1
four-strong,1
press,595
selective,21
crystallised,2
magisterial,5
new-build,5
post-gig,1
re-elected,16
publicised,3
dumb,15
peak-to-trough,6
cooperative,6
anarchist,28
old-world,2
refinery,8
prospector,3
failed,27
neuter,5
tm,1
lesser-known,5
revolving,4
cathedral-like,1
pitiable,1
consecration,2
telegraph,16
blokey,2
natured,1
lucrative,54
crescendo,11
wonderment,3
redhead,1
delivery,134
recruitment,82
over-spending,3
termite,5
staleness,1
bm,1
brickwork,4
ancestor,15
tights,11
extinguish,15
state-aid,3
antique,29
compensation,55
crook,11
add-on,3
replicable,1
villa,107
plum,15
entrenchment,2
well-loved,2
innovator,9
newly-elected,6
sister-in-law,3
austerity-wracked,1
ardour,4
ricotta,5
unexciting,2
untidy,1
obviate,1
cancer,132
corked,1
improvement,354
vegetable,84
undisguised,1
penurious,1
preventable,2
embargo,7
generator,12
terrine,5
naturalistic,3
scare-mongering,2
nightclub,13
projet,3
scheduled,6
mid-afternoon,5
pro-life,2
market-based,1
mackerel,1
vindicate,52
free-kick,5
forgive,98
redoubtable,4
hallelujah,1
tory-lite,2
scholar,16
profit-taking,6
800-strong,2
recommission,2
short-change,2
stoicism,8
redrawing,2
icebound,1
fare,246
hand-grenade,2
double-bill,2
post-independence,1
skull,11
illogical,7
increment,7
baby-boomer,10
cliff-top,2
mishmash,2
collateral,117
bale,2
watcher,16
mouthful,2
corroborate,3
indeterminate,1
ruck,1
anticipate,176
instruct,46
voucher,22
mediate,2
harassment,11
pragmatism,23
biodiversity,6
co-chairman,2
disarray,31
horizon,75
intelligentsia,4
write,1386
mid-year,3
westernised,2
cabin,43
destructiveness,2
wearer,4
crisis-era,2
bloody,55
frontloading,1
elastic,4
ditzy,2
prefabricated,1
geometric,11
concerto,15
spray-paint,3
naive,31
unequal,17
steamer,8
risk-averse,9
orc,1
scry,1
dizzying,8
loos,41
iron-clad,2
double-bluff,1
grumble,31
five-a-day,4
monogamous,2
disgust,23
triple-a,40
rig,40
inertia,19
consummate,2
text,120
l-shaped,5
reconsideration,4
lookalike,10
securitised,1
hackles,3
primary,308
inconvenience,19
commotion,1
forager,1
preposterous,18
melon,3
impinge,4
incentive,191
shared,76
arboreal,2
bearish,30
saving,75
long-sleeved,2
punchbowl,3
ninth,19
catalyse,2
course,1625
globe,52
brunch,5
complicity,4
skive,4
hover,33
rookie,1
harpercollin,1
ejection,42
disinformation,3
caster,5
self-managed,1
protracted,59
abstemious,2
matador,3
intolerable,35
underpaid,7
unprincipled,5
riskier,2
enervate,1
hdus,1
racy,12
home-based,1
concrete,107
freakery,3
idealist,5
assert,42
dismissive,15
social-democrat,1
penn,1
rule,1413
hummus,1
prying,1
pre-appointment,2
counter-revolution,2
une,1
ft,49
consolidate,38
roll-over,8
longing,10
playhouse,2
mannerism,2
clinching,3
twain,2
blind,102
scot,106
redrawn,3
fowl,2
iod,14
colourless,1
chinese-style,1
meanness,1
foot-dragging,4
cnd,4
custodian,12
turnout,39
archer,2
tiller,10
cut-off,6
mauling,3
chambermaid,1
uncomplicated,2
goldmine,1
cakewalk,1
wind-farm,1
bath,63
stony,6
dependable,5
excited,13
sackful,2
wintry,6
junkie,10
recapitalization,1
preview,23
tempo,4
consultation,77
mistaken,24
fund-raiser,1
suitor,18
